,ndb_no,desc_only,kilocalories,protein_g,fat_g,carb_g,unit_per_item,prot_prop,fat_prop,carb_prop,prop_distance
0,45312090,"EPIC, BEEF STEAK WITH CRANBERRY & SRIRACHA,",80,9,2,8,PIECES 28g,0.473684211,0.105263158,0.421052632,0.00700438
1,45025337,"CHIK'N TENDERS,",90,10,2,9,cup 85 g,0.476190476,0.095238095,0.428571429,0.011535124
2,45117666,"HIGH PROTEIN BAR,",280,30,7,26,g 72 g,0.476190476,0.111111111,0.412698413,0.011883867
3,45104820,"GOLDEN ISLAND, BEEF JERKY, KUNG PAO,",90,10,2,9,ONZ 28,0.476190476,0.095238095,0.428571429,0.010573773
4,45170656,"BALL PARK, THE FLAME GRILLED BEEF JERKY, TERIYAKI,",90,10,2,9,ONZ 28 g,0.476190476,0.095238095,0.428571429,0.011290061
5,45221148,"MINIS PROTEIN SNACK BAR,",100,10,2,9,BAR 25 g,0.476190476,0.095238095,0.428571429,0.012110446
6,45323003,"HIGH PROTEIN BAR,",280,30,7,26,BAR 72 g,0.476190476,0.111111111,0.412698413,0.012694357
7,45170649,"BALL PARK, THE FLAME GRILLED BEEF JERKY, TERIYAKI, SMOKE,",90,10,2,9,ONZ 28 g,0.476190476,0.095238095,0.428571429,0.011525794
8,45126897,"DOUBLE CHOCOLATE CRUNCH BARS,",270,30,6,25,BAR 72 g,0.491803279,0.098360656,0.409836066,0.011861994
9,45221145,"MINIS PROTEIN SNACK BAR,",100,10,2,9,BAR 25 g,0.476190476,0.095238095,0.428571429,0.007159598
10,45322971,"HIGH PROTEIN BAR,",280,30,7,26,BAR 72 g,0.476190476,0.111111111,0.412698413,0.016346537
11,45211250,"DELUXE HAM,",100,11,2,10,ONZ 85 G,0.47826087,0.086956522,0.434782609,0.013470508
12,11222,"Drumstick leaves, raw",64,9,1,8,Value per 100 g,0.5,0.055555556,0.444444444,0.009820928
